Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Palpa,District,Pālpā,पाल्पा जिल्ला,"268,558","261,180","245,027"
Bagnaskali,Rural Municipality,Baganāsakālī,बगनासकाली गाउँपालिका,...,"21,361","18,497"
Mathagadhi,Rural Municipality,Māthāgaḍhī,माथागढी गाउँपालिका,"25,999","25,017","24,053"
Nisdi,Rural Municipality,Nisdī,निस्दी गाउँपालिका,"23,912","22,611","18,120"
Purbakhola,Rural Municipality,Pūrvakhōlā,पूर्वखोला गाउँपालिका,...,"19,590","16,052"
Rainadevi Chhahara,Rural Municipality,Rainādēvī Chaharā,रैनादेवी छहरा गाउँपालिका,"28,629","26,469","23,149"
Rambha,Rural Municipality,Rambhā,रम्भा गाउँपालिका,...,"20,190","17,155"
Rampur,Municipality,Rāmapura,रामपुर नगरपालिका,"33,480","35,504","40,883"
Ribdikot,Rural Municipality,Ribdīkōṭa,रिब्दीकोट गाउँपालिका,"21,678","18,770","15,473"
Tansen,Municipality,Tānasēna,तानसेन नगरपालिका,...,"52,538","50,792"
Tinau,Rural Municipality,Tināu,तिनाउ गाउँपालिका,"19,163","19,130","17,777"
Panchthar,District,Pā̃cathara,पाँचथर जिल्ला,"202,056","191,817","172,400"
Hilihang,Rural Municipality,Hilihāṅa,हिलिहाङ गाउँपालिका,"25,895","22,954","19,085"
Kummayak,Rural Municipality,Kummāyaka,कुम्मायक गाउँपालिका,"18,591","16,119","12,746"
Miklajung,Rural Municipality,Miklājuṅa,मिक्लाजुङ गाउँपालिका,"27,456","24,656","21,061"
Phalelung,Rural Municipality,Phālēluṅa,फालेलुङ गाउँपालिका,...,"21,884","20,361"
Phalgunanda,Rural Municipality,Phālgunanda,फाल्गुनन्द गाउँपालिका,"25,329","24,233","21,289"
Phidim,Municipality,Phidima,फिदिम नगरपालिका,...,"50,164","48,495"
Tumwewa,Rural Municipality,Tumvēvā,तुम्वेवा गाउँपालिका,"15,028","13,454","11,189"
Yangwarak,Rural Municipality,Yāṅavaraka,याङवरक गाउँपालिका,"19,866","18,353","16,821"
Parasi [Nawalparasi West],District,Parāsī,परासी जिल्ला,"290,313","331,904","386,868"
Bardghat,Municipality,Bardaghāṭa,बर्दघाट नगरपालिका,"55,476","61,675","76,703"
Palhinandan,Rural Municipality,Pālhīnandana,पाल्हीनन्दन गाउँपालिका,...,"35,429","38,186"
Pratappur,Rural Municipality,Pratāpapura,प्रतापपुर गाउँपालिका,...,"45,241","49,897"
Ramgram,Municipality,Rāmagrāma,रामग्राम नगरपालिका,...,"59,828","64,017"
Sarawal,Rural Municipality,Sarāvala,सरावल गाउँपालिका,"33,647","37,418","42,207"
Sunwal,Municipality,Sunavala,सुनवल नगरपालिका,...,"56,423","72,085"
Susta,Rural Municipality,Sustā,सुस्ता गाउँपालिका,...,"35,890","40,655"
Parbat,District,Parvata,पर्वत जिल्ला,"157,826","146,590","130,887"
Bihadi,Rural Municipality,Vihādī,विहादी गाउँपालिका,"15,377","13,409","10,828"
Jaljala,Rural Municipality,Jalajalā,जलजला गाउँपालिका,"21,547","21,527","21,119"
Kushma,Municipality,Kuśmā,कुश्मा नगरपालिका,"38,475","40,374","38,101"
Mahashila,Rural Municipality,Mahāśilā,महाशिला गाउँपालिका,...,"9,858","8,116"
Modi,Rural Municipality,Mōdī,मोदी गाउँपालिका,"24,274","21,312","18,794"
Paiyun,Rural Municipality,Paiyū̃,पैयूँ गाउँपालिका,"17,073","15,381","12,725"
Phalewas,Municipality,Phalēvāsa,फलेवास नगरपालिका,...,"24,729","20,468"
Parsa,District,Parsā,पर्सा जिल्ला,"497,219","601,017","654,471"
Bahudarmai,Municipality,Bahudaramāī,बहुदरमाई नगरपालिका,"32,007","39,673","43,478"
Bindabasini,Rural Municipality,Bindabāsinī,बिन्दबासिनी गाउँपालिका,"19,556","24,468","24,991"
Birgunj,Metropolis,Vīragañja,वीरगंज महानगरपालिका,"194,960","244,086","272,382"
Chhipahrmai,Rural Municipality,Chipaharamāī,छिपहरमाई गाउँपालिका,"21,939","26,684","29,082"
Chitawan National Park,National Park,Citavana Rāṣṭriya Nikuñja,चितवन राष्ट्रिय निकुञ्ज,0,0,0
Dhobini,Rural Municipality,Dhōbīnī,धोबीनी गाउँपालिका,...,"19,911","22,606"
Jagarnathpur,Rural Municipality,Jagaranāthapura,जगरनाथपुर गाउँपालिका,...,"32,674","32,649"
Jira Bhawani,Rural Municipality,Jirā Bhavānī,जिरा भवानी गाउँपालिका,"19,876","22,765","22,677"
Kalikamai,Rural Municipality,Kālikāmāī,कालिकामाई गाउँपालिका,"17,225","21,141","23,480"
Pakahamainpur,Rural Municipality,Pakāhā Mainapura,पकाहा मैनपुर गाउँपालिका,"17,081","20,717","22,585"
Parsagadhi,Municipality,Parsāgaḍhī,पर्सागढी नगरपालिका,"31,948","38,607","41,569"
Paterwa Sugauli,Rural Municipality,Paṭērvā Sugaulī,पटेर्वा सुगौली गाउँपालिका,"19,894","23,917","25,498"
Pokhariya,Municipality,Pōkhariyā,पोखरिया नगरपालिका,...,"32,885","37,675"
Sakhuwa Prasauni,Rural Municipality,Sakhuvā Prasaunī,सखुवा प्रसौनी गाउँपालिका,"28,040","33,092","35,399"
Thori,Rural Municipality,Ṭhōrī,ठोरी गाउँपालिका,"20,651","20,397","17,219"
Pyuthan,District,Pyuṭhāna,प्युठान जिल्ला,"212,484","228,102","232,019"
Airawati,Rural Municipality,Airāvatī,ऐरावती गाउँपालिका,...,"22,392","20,428"
Gaumukhi,Rural Municipality,Gaumukhī,गौमुखी गाउँपालिका,...,"25,421","25,980"
Jhimruk,Rural Municipality,Jhimaruka,झिमरुक गाउँपालिका,...,"27,931","26,130"
Mallarani,Rural Municipality,Mallarānī,मल्लरानी गाउँपालिका,...,"17,686","15,646"
Mandavi,Rural Municipality,Māṇḍavī,माण्डवी गाउँपालिका,...,"15,058","15,863"
Naubahini,Rural Municipality,Nauvahinī,नौवहिनी गाउँपालिका,"26,026","30,310","32,682"
Pyuthan,Municipality,Pyūṭhāna,प्यूठान नगरपालिका,...,"39,460","42,130"
Sarumarani,Rural Municipality,Sarumārānī,सरुमारानी गाउँपालिका,...,"18,657","19,783"
Swargadwari,Municipality,Svargadvārī,स्वर्गद्वारी नगरपालिका,"28,697","31,187","32,037"
Ramechhap,District,Rāmēchāpa,रामेछाप जिल्ला,"212,408","202,646","170,302"
Doramba,Rural Municipality,Dōrambā,दोरम्बा गाउँपालिका,...,"22,773","17,686"
Gokulganga,Rural Municipality,Gōkulagaṅgā,गोकुलगङ्गा गाउँपालिका,"20,700","20,074","17,798"
Khandadevi,Rural Municipality,Khā̃ḍādēvī,खाँडादेवी गाउँपालिका,"27,343","25,786","19,312"
Likhu,Rural Municipality,Likhu,लिखु गाउँपालिका,"24,218","23,135","18,325"
Manthali,Municipality,Manthalī,मन्थली नगरपालिका,"45,048","45,614","39,695"
Ramechhap,Municipality,Rāmēchāpa,रामेछाप नगरपालिका,"30,163","29,469","24,971"
Sunapati,Rural Municipality,Sunāpatī,सुनापती गाउँपालिका,...,"18,148","14,658"
Umakunda,Rural Municipality,Umākuṇḍa,उमाकुण्ड गाउँपालिका,"17,937","17,647","16,590"
Rasuwa,District,Rasuvā,रसुवा जिल्ला,"44,731","43,300","46,689"
Aamachhodingmo [Parbatikunda],Rural Municipality,Āmāchōdiṅmō,आमाछोदिङ्मो गाउँपालिका,...,"5,533","6,673"
Gosaikunda,Rural Municipality,Gōsāīkuṇḍa,गोसाईकुण्ड गाउँपालिका,...,"8,134","7,788"
Kalika,Rural Municipality,Kālikā,कालिका गाउँपालिका,...,"9,502","10,115"
Naukunda,Rural Municipality,Naukuṇḍa,नौकुण्ड गाउँपालिका,...,"11,833","12,344"
Uttargaya,Rural Municipality,Uttaragayā,उत्तरगया गाउँपालिका,...,"8,298","8,555"
Rautahat,District,Rautahaṭa,रौतहट जिल्ला,"545,132","686,722","813,573"
Baudhimai,Municipality,Baudhīmāī,बौधीमाई नगरपालिका,"26,300","33,265","39,325"
Brindawan,Municipality,Br̥ndāvana,बृन्दावन नगरपालिका,"32,092","42,770","49,742"
Chandrapur,Municipality,Candrapura,चन्द्रपुर नगरपालिका,"57,647","72,085","81,807"
Dewahi Gonahi,Municipality,Dēvāhī Gōnāhī,देवाही गोनाही नगरपालिका,"25,408","32,143","38,690"
Durga Bhagwati,Rural Municipality,Durgā Bhagavatī,दुर्गा भगवती गाउँपालिका,"19,301","22,699","22,864"
Gadhimai,Municipality,Gaḍhimāī,गढिमाई नगरपालिका,"33,327","40,410","49,135"
Garuda,Municipality,Garuḍā,गरुडा नगरपालिका,"38,361","50,506","60,857"
Gaur,Municipality,Gaura,गौर नगरपालिका,"25,383","35,370","39,846"
Gujara,Municipality,Gujarā,गुजरा नगरपालिका,"41,483","46,618","54,033"
Ishanath,Municipality,Īśanātha,ईशनाथ नगरपालिका,"34,277","41,435","51,855"
Katahariya,Municipality,Kaṭahariyā,कटहरिया नगरपालिका,"29,642","38,412","45,821"
Madhav Narayan,Municipality,Mādhava Nārāyaṇa,माधव नारायण नगरपालिका,"29,919","35,175","40,894"
Maulapur,Municipality,Maulāpura,मौलापुर नगरपालिका,"20,436","26,424","32,325"
Paroha,Municipality,Parōhā,परोहा नगरपालिका,"29,449","37,453","45,702"
Phatuwabijayapur,Municipality,Phatuvābijayapura,फतुवाबिजयपुर नगरपालिका,"24,548","36,308","42,218"
Rajdevi,Municipality,Rājadēvī,राजदेवी नगरपालिका,...,"30,629","35,658"
Rajpur,Municipality,Rājapura,राजपुर नगरपालिका,"32,782","41,136","54,083"
Yamunamai,Rural Municipality,Yamunāmāī,यमुनामाई गाउँपालिका,...,"23,884","28,414"
Rolpa,District,Rōlpā,रोल्पा जिल्ला,"210,004","224,506","234,793"
Gangadev [Sukidaha],Rural Municipality,Gaṅgādēva,गंगादेव गाउँपालिका,...,"20,009","21,503"
Lungri,Rural Municipality,Luṅagrī,लुङग्री गाउँपालिका,"20,997","23,631","26,325"
Madi,Rural Municipality,Māḍī,माडी गाउँपालिका,...,"17,986","18,056"
Paribartan [Duikholi],Rural Municipality,Parivartana,परिवर्तन गाउँपालिका,"20,123","20,778","21,671"
Rolpa,Municipality,Rōlpā,रोल्पा नगरपालिका,...,"34,347","35,376"
Runtigadhi,Rural Municipality,Runṭīgaḍhī,रुन्टीगढी गाउँपालिका,...,"28,517","28,291"
Sunchhahari,Rural Municipality,Sunachaharī,सुनछहरी गाउँपालिका,...,"16,034","17,241"
Sunilsmriti [Suwarnabati],Rural Municipality,Sunilasmr̥ti,सुनिलस्मृति गाउँपालिका,...,"28,213","30,617"
Thabang,Rural Municipality,Thavāṅa,थवाङ गाउँपालिका,"10,728","10,881","10,851"
Triveni,Rural Municipality,Trivēṇī,त्रिवेणी गाउँपालिका,...,"24,110","23,412"
Rupandehi,District,Rupandēhī,रुपन्देही जिल्ला,"708,419","880,196","1,121,957"
Butwal,Sub-Metropolis,Buṭavala,बुटवल उपमहानगरपालिका,"91,252","141,262","194,335"
Devdaha,Municipality,Dēvadaha,देवदह नगरपालिका,"44,639","53,636","72,457"
Gaidahawa,Rural Municipality,Gaiḍahavā,गैडहवा गाउँपालिका,"40,870","47,624","56,149"
Kanchan,Rural Municipality,Kañcana,कञ्चन गाउँपालिका,"30,434","33,082","42,528"
Kotahimai,Rural Municipality,Kōṭahīmāī,कोटहीमाई गाउँपालिका,"34,859","41,006","45,975"
Lumbini Sanskritik,Municipality,Lumbinī Sā̃skr̥tika,लुम्बिनी साँस्कृतिक नगरपालिका,"61,155","72,647","87,383"
Marchawari,Rural Municipality,Marcavārī,मर्चवारी गाउँपालिका,"31,770","38,783","40,880"
Mayadevi,Rural Municipality,Māyādēvī,मायादेवी गाउँपालिका,"38,647","47,174","56,170"
Omsatiya,Rural Municipality,Ōmasatiyā,ओमसतिया गाउँपालिका,...,"34,226","41,141"
Rohini,Rural Municipality,Rōhiṇī,रोहिणी गाउँपालिका,"33,399","37,217","43,327"
Sainamaina,Municipality,Saināmainā,सैनामैना नगरपालिका,"44,591","57,077","78,393"
Sammarimai,Rural Municipality,Sammarīmāī,सम्मरीमाई गाउँपालिका,"32,141","38,313","43,044"
Shuddhodhan,Rural Municipality,Śuddhōdhana,शुद्धोधन गाउँपालिका,"29,902","34,638","41,907"
Siddharthanagar,Municipality,Siddhārthanagara,सिद्धार्थनगर नगरपालिका,"52,569","64,566","74,436"
Siyari,Rural Municipality,Siyārī,सियारी गाउँपालिका,"33,258","38,507","44,985"
Tilottama,Municipality,Tilōttamā,तिलोत्तमा नगरपालिका,...,"100,438","149,479"
Salyan,District,Salyāna,सल्यान जिल्ला,"213,500","242,444","238,515"
Bagchaur,Municipality,Bāgacaura,बागचौर नगरपालिका,"20,235","34,143","34,021"
Bangad Kupinde,Municipality,Banagāḍa Kupiṇḍē,बनगाड कुपिण्डे नगरपालिका,...,"36,135","32,940"
Chhatreshwari,Rural Municipality,Chatrēśvarī,छत्रेश्वरी गाउँपालिका,"10,985","21,452","21,242"
Darma,Rural Municipality,Dārmā,दार्मा गाउँपालिका,...,"19,966","20,139"
Kalimati,Rural Municipality,Kālimāṭī,कालिमाटी गाउँपालिका,"14,790","23,005","22,206"
Kapurkot,Rural Municipality,Kapurakōṭa,कपुरकोट गाउँपालिका,"16,698","18,273","17,526"
Kumakh,Rural Municipality,Kumākha,कुमाख गाउँपालिका,"22,101","24,988","24,859"
Sharada,Municipality,Śāradā,शारदा नगरपालिका,"29,411","34,242","34,663"
Siddha Kumakh [Dhorchaur],Rural Municipality,Siddha Kumākha,सिद्ध कुमाख गाउँपालिका,"10,082","13,593","13,127"
Triveni,Rural Municipality,Trivēṇī,त्रिवेणी गाउँपालिका,"13,211","16,647","16,664"
Sankhuwasabha,District,Saṅkhuvāsabhā,संखुवासभा जिल्ला,"159,203","158,742","158,041"
Bhotkhola,Rural Municipality,Bhōṭakhōlā,भोटखोला गाउँपालिका,...,"6,576","6,438"
Chainpur,Municipality,Cainapura,चैनपुर नगरपालिका,"28,294","27,462","26,799"
Chichila,Rural Municipality,Cicilā,चिचिला गाउँपालिका,"7,188","7,065","6,577"
Dharmadevi,Municipality,Dharmadēvī,धर्मदेवी नगरपालिका,"19,310","18,235","16,053"
Khandbari,Municipality,Khā̃dabārī,खाँदबारी नगरपालिका,"26,756","31,534","35,565"
Madi,Municipality,Mādī,मादी नगरपालिका,"15,959","14,473","13,273"
Makalu,Rural Municipality,Makālu,मकालु गाउँपालिका,...,"13,572","13,424"
Panchkhapan,Municipality,Pā̃cakhapana,पाँचखपन नगरपालिका,"17,926","17,521","16,348"
Savahapokhari,Rural Municipality,Sabhāpōkharī,सभापोखरी गाउँपालिका,"11,231","10,492","9,970"
Silichong,Rural Municipality,Silīcōṅa,सिलीचोङ गाउँपालिका,...,"11,812","10,296"
Saptari,District,Saptarī,सप्तरी जिल्ला,"570,282","639,284","706,255"
Agnisair Krishnasawaran,Rural Municipality,Agnisāira Kr̥ṣṇāsaravana,अग्निसाइर कृष्णासरवन गाउँपालिका,...,"27,129","31,634"
Balan-Bihul,Rural Municipality,Valāna-Vihula,वलान-विहुल गाउँपालिका,...,"21,842","23,527"
Bishnupur,Rural Municipality,Viṣṇupura,विष्णुपुर गाउँपालिका,...,"23,166","27,703"
Bodebarsain,Municipality,Bōdēbarasāina,बोदेबरसाइन नगरपालिका,...,"43,293","46,017"
Chhinnamasta,Rural Municipality,Chinnamastā,छिन्नमस्ता गाउँपालिका,"25,054","28,437","29,946"
Dakneshwori,Municipality,Ḍāknēśvōrī,डाक्नेश्वोरी नगरपालिका,"39,258","42,833","47,739"
Hanumannagar Kankalini,Municipality,Hanumānanagara Kaṅkālinī,हनुमाननगर कंकालिनी नगरपालिका,"39,199","45,840","52,796"
Kanchanrup,Municipality,Kañcanarūpa,कञ्चनरूप नगरपालिका,"47,099","53,366","58,466"
Khadak,Municipality,Khaḍaka,खडक नगरपालिका,...,"45,428","52,778"
Koshi Tappu Wildlife Reserve,Wildlife Reserve,Kōśī Ṭappu Vanyajantu Ārakṣa,कोशी टप्पु वन्यजन्तु आरक्ष,0,0,0
Mahadeva,Rural Municipality,Mahādēvā,महादेवा गाउँपालिका,"25,419","28,542","30,315"
Rajbiraj,Municipality,Rājavirāja,राजविराज नगरपालिका,...,"68,899","70,803"
Rajgadh [Belhi Chapena],Rural Municipality,Rājagaḍha,राजगढ गाउँपालिका,...,"29,498","32,462"
Rupani,Rural Municipality,Rupanī,रुपनी गाउँपालिका,...,"26,490","29,877"
Saptakoshi,Municipality,Saptakōśī,सप्तकोशी नगरपालिका,"19,197","21,237","23,510"
Shambhunath,Municipality,Śambhunātha,शम्भुनाथ नगरपालिका,"30,746","35,222","39,634"
Surunga,Municipality,Suruṅgā,सुरुङ्गा नगरपालिका,...,"44,222","49,460"
Tilathi Koiladi,Rural Municipality,Tilāṭhī Kōīlāḍī,तिलाठी कोईलाडी गाउँपालिका,...,"31,803","33,658"
Tirhut,Rural Municipality,Tirahuta,तिरहुत गाउँपालिका,"20,780","22,037","24,034"
Sarlahi,District,Sarlāhī,सर्लाही जिल्ला,"635,701","769,729","862,470"
Bagmati,Municipality,Bāgamatī,बागमती नगरपालिका,...,"40,399","47,106"
Balra,Municipality,Balarā,बलरा नगरपालिका,...,"45,194","47,912"
Barhathawa,Municipality,Barahathavā,बरहथवा नगरपालिका,...,"69,822","81,120"
Basbariya,Rural Municipality,Basabarīyā,बसबरीया गाउँपालिका,"18,872","23,568","25,905"
Bishnu,Rural Municipality,Viṣṇu,विष्णु गाउँपालिका,...,"24,748","28,570"
Brahmapuri,Rural Municipality,Brahmapurī,ब्रह्मपुरी गाउँपालिका,"24,905","29,832","31,378"
Chakraghatta,Rural Municipality,Cakraghaṭṭā,चक्रघट्टा गाउँपालिका,"22,951","27,952","29,550"
Chandranagar,Rural Municipality,Candranagara,चन्द्रनगर गाउँपालिका,"26,179","33,345","36,908"
Dhankaul,Rural Municipality,Dhanakaula,धनकौल गाउँपालिका,...,"24,788","27,974"
Godaita,Municipality,Gōḍaiṭā,गोडैटा नगरपालिका,"39,130","47,687","54,270"
Haripur,Municipality,Haripura,हरिपुर नगरपालिका,...,"37,445","43,233"
Haripurwa,Municipality,Haripurvā,हरिपुर्वा नगरपालिका,...,"36,042","38,714"
Hariwan,Municipality,Harivana,हरिवन नगरपालिका,...,"43,924","49,988"
Ishworpur,Municipality,Īśvarapura,ईश्वरपुर नगरपालिका,"51,243","60,000","68,377"
Kaudena,Rural Municipality,Kauḍēnā,कौडेना गाउँपालिका,"21,182","26,085","28,702"
Kawilasi,Municipality,Kavilāsī,कविलासी नगरपालिका,"34,495","42,336","44,204"
Lalbandi,Municipality,Lālabandī,लालबन्दी नगरपालिका,"51,448","59,628","66,419"
Malangwa,Municipality,Malaṅvā,मलङ्वा नगरपालिका,"36,380","46,557","54,550"
Parsa,Rural Municipality,Parsā,पर्सा गाउँपालिका,"16,905","21,650","24,005"
Ramnagar,Rural Municipality,Rāmanagara,रामनगर गाउँपालिका,...,"28,727","31,366"
Sindhuli,District,Sindhulī,सिन्धुली जिल्ला,"279,821","296,192","300,026"
Dudhauli,Municipality,Dudhaulī,दुधौली नगरपालिका,"59,545","65,644","70,207"
Ghyanglekh,Rural Municipality,Ghyāṅalēkha,घ्याङलेख गाउँपालिका,"13,781","13,761","12,652"
Golanjor,Rural Municipality,Gōlanjara,गोलन्जर गाउँपालिका,"19,184","19,490","18,737"
Hariharpurgadhi,Rural Municipality,Hariharapuragaḍhī,हरिहरपुरगढी गाउँपालिका,"26,214","27,727","26,505"
Kamalamai,Municipality,Kamalāmāī,कमलामाई नगरपालिका,"58,485","66,391","71,016"
Marin,Rural Municipality,Mariṇa,मरिण गाउँपालिका,"25,108","27,822","28,808"
Phikkal,Rural Municipality,Phikkala,फिक्कल गाउँपालिका,"16,788","16,968","15,910"
Sunkoshi,Rural Municipality,Sunakōśī,सुनकोशी गाउँपालिका,...,"21,969","18,375"
Tinpatan,Rural Municipality,Tīnapāṭana,तीनपाटन गाउँपालिका,"34,801","36,420","34,889"
Sindhupalchowk,District,Sindhupālcōka,सिन्धुपाल्चोक जिल्ला,"305,857","287,798","262,624"
Bahrabise,Municipality,Bāhrabisē,बाह्रबिसे नगरपालिका,...,"26,960","24,109"
Balephi,Rural Municipality,Balēphī,बलेफी गाउँपालिका,"20,191","19,084","17,085"
Bhotekoshi,Rural Municipality,Bhōṭēkōśī,भोटेकोशी गाउँपालिका,"15,176","16,772","14,318"
Chautara Sangachokgadhi,Municipality,Cautārā Sā̃gācōkagaḍhī,चौतारा साँगाचोकगढी नगरपालिका,"49,159","47,104","42,668"
Helambu,Rural Municipality,Hēlambu,हेलम्बु गाउँपालिका,"19,571","17,964","17,497"
Indrawati,Rural Municipality,Īndrāvatī,ईन्द्रावती गाउँपालिका,"31,177","28,544","25,365"
Jugal,Rural Municipality,Jugala,जुगल गाउँपालिका,"19,837","19,231","18,303"
Lisankhu Pakhar,Rural Municipality,Lisaṅkhu Pākhara,लिसङ्खु पाखर गाउँपालिका,"12,656","15,144","11,750"
Melamchi,Municipality,Mēlamcī,मेलम्ची नगरपालिका,"47,290","45,473","41,063"
Panchpokhari Thangpal,Rural Municipality,Pā̃capōkharī Thāṅapāla,पाँचपोखरी थाङपाल गाउँपालिका,"22,127","20,986","20,997"
Sunkoshi,Rural Municipality,Sunakōśī,सुनकोशी गाउँपालिका,"20,294","17,311","15,176"
Tripurasundari,Rural Municipality,Tripurāsundarī,त्रिपुरासुन्दरी गाउँपालिका,...,"13,225","12,014"
Siraha,District,Sirāhā,सिराहा जिल्ला,"572,399","637,328","739,953"
Arnama,Rural Municipality,Arnamā,अर्नमा गाउँपालिका,"21,158","22,912","27,899"
Aurahi,Rural Municipality,Aurahī,औरही गाउँपालिका,"21,629","23,084","26,478"
Bariyarpatti,Rural Municipality,Bariyārapaṭṭī,बरियारपट्टी गाउँपालिका,"22,317","25,313","29,712"
Bhagwanpur,Rural Municipality,Bhagavānapura,भगवानपुर गाउँपालिका,"17,468","20,999","23,380"
Bishnupur,Rural Municipality,Viṣṇupura,विष्णुपुर गाउँपालिका,"17,144","18,543","22,781"
Dhangadhimai,Municipality,Dhanagaḍhīmāī,धनगढीमाई नगरपालिका,"42,337","47,449","53,355"
Golbazar,Municipality,Gōlabajāra,गोलबजार नगरपालिका,"47,208","52,137","63,885"
Kalyanpur,Municipality,Kalyāṇapura,कल्याणपुर नगरपालिका,"45,812","49,344","58,872"
Karjanha,Municipality,Karjanhā,कर्जन्हा नगरपालिका,"26,346","31,357","38,557"
Lahan,Municipality,Lahāna,लहान नगरपालिका,"81,918","92,040","102,031"
Laksmipur Patari,Rural Municipality,Lakṣmīpura Patārī,लक्ष्मीपुर पतारी गाउँपालिका,...,"28,073","31,118"
Mirchaiya,Municipality,Mircaiyā,मिर्चैया नगरपालिका,...,"49,131","59,425"
Naraha,Rural Municipality,Narahā,नरहा गाउँपालिका,"16,834","19,369","22,760"
Nawarajpur,Rural Municipality,Navarājapura,नवराजपुर गाउँपालिका,"16,636","19,056","20,788"
Sakhuwanankarkatti,Rural Municipality,Sakhuvānānkārakaṭṭī,सखुवानान्कारकट्टी गाउँपालिका,"16,778","18,574","20,844"
Siraha,Municipality,Sirāhā,सिराहा नगरपालिका,"75,171","82,920","95,410"
Sukhipur,Municipality,Sukhipura,सुखिपुर नगरपालिका,"34,771","37,027","42,033"
Solukhumbu,District,Sōlukhumbu,सोलुखुम्बु जिल्ला,"107,686","105,886","104,851"
Dudhkoshi,Rural Municipality,Dudhakōśī,दुधकोशी गाउँपालिका,...,"13,420","12,648"
Khumbu Pasanglhamu,Rural Municipality,Khumbu Pāsāṅalhāmu,खुम्बु पासाङल्हामु गाउँपालिका,...,"9,133","8,720"
Likhupike,Rural Municipality,Likhupikē,लिखुपिके गाउँपालिका,...,"5,534","5,334"
Mahakulung,Rural Municipality,Māhākuluṅa,माहाकुलुङ गाउँपालिका,...,"11,452","11,847"
Nechasalyan,Rural Municipality,Nēcāsalyāna,नेचासल्यान गाउँपालिका,"17,366","16,149","11,381"
Solududhkunda,Municipality,Sōlududhakuṇḍa,सोलुदुधकुण्ड नगरपालिका,...,"20,977","25,678"
Sotang,Rural Municipality,Sōtāṅa,सोताङ गाउँपालिका,...,"9,530","9,025"
Thulung Dudhkoshi,Rural Municipality,Thuluṅa Dudhakōśī,थुलुङ दुधकोशी गाउँपालिका,"20,938","19,691","18,354"
Sunsari,District,Sunasarī,सुनसरी जिल्ला,"625,633","763,487","926,962"
Barah,Municipality,Barāhakṣētra,बराहक्षेत्र नगरपालिका,"71,327","77,604","91,087"
Barju,Rural Municipality,Barju,बर्जु गाउँपालिका,"27,908","31,180","36,249"
Bhokraha,Rural Municipality,Bhōkrāhā Narasiṃha,भोक्राहा नरसिंह गाउँपालिका,"33,928","40,636","49,280"
Dewanganj,Rural Municipality,Dēvānagañja,देवानगञ्ज गाउँपालिका,"31,222","35,283","39,030"
Dharan,Sub-Metropolis,Dharāna,धरान उपमहानगरपालिका,"114,571","141,439","166,531"
Duhabi,Municipality,Duhabī,दुहबी नगरपालिका,"49,008","56,573","66,074"
Gadhi,Rural Municipality,Gaḍhī,गढी गाउँपालिका,"32,498","34,852","38,739"
Harinagara,Rural Municipality,Harinagarā,हरिनगरा गाउँपालिका,"36,190","41,070","49,845"
Inaruwa,Municipality,Inarūvā,इनरूवा नगरपालिका,...,"64,749","74,914"
Itahari,Sub-Metropolis,Iṭaharī,इटहरी उपमहानगरपालिका,"90,364","143,786","197,241"
Koshi,Rural Municipality,Kōśī,कोशी गाउँपालिका,"35,811","43,987","48,804"
Koshi Tappu Wildlife Reserve,Wildlife Reserve,Kōśī Ṭappu Vanyajantu Ārakṣa,कोशी टप्पु वन्यजन्तु आरक्ष,0,0,0
Ramdhuni,Municipality,Rāmadhunī,रामधुनी नगरपालिका,...,"52,328","63,452"
Surkhet,District,Surkhēta,सुर्खेत जिल्ला,"288,527","350,804","415,126"
Barahatal,Rural Municipality,Barāhatāla,बराहताल गाउँपालिका,"24,303","26,820","25,943"
Bheriganga,Municipality,Bhērīgaṅgā,भेरीगंगा नगरपालिका,...,"41,865","48,203"
Birendranagar,Municipality,Vīrēndranagara,वीरेन्द्रनगर नगरपालिका,"67,649","105,107","153,863"
Chaukune,Rural Municipality,Caukunē,चौकुने गाउँपालिका,"23,072","25,240","26,950"
Chingad,Rural Municipality,Ciṅgāḍa,चिङ्गाड गाउँपालिका,"15,633","17,275","15,600"
Gurbhakot,Municipality,Gurbhākōṭa,गुर्भाकोट नगरपालिका,"39,484","44,359","48,216"
Lekbeshi,Municipality,Lēkavēśī,लेकवेशी नगरपालिका,...,"31,583","31,710"
Panchapuri,Municipality,Pañcapurī,पञ्चपुरी नगरपालिका,"26,911","32,236","35,839"
Simta,Rural Municipality,Simtā,सिम्ता गाउँपालिका,...,"26,319","24,083"
Syangja,District,Syāṅjā,स्याङ्जा जिल्ला,"317,320","289,148","253,024"
Aandhikhola,Rural Municipality,Ā̃dhīkhōlā,आँधीखोला गाउँपालिका,...,"16,595","13,094"
Arjunchaupari,Rural Municipality,Arjunacaupārī,अर्जुनचौपारी गाउँपालिका,...,"16,179","14,045"
Bhirkot,Municipality,Bhīrakōṭa,भीरकोट नगरपालिका,...,"25,584","22,645"
Biruwa,Rural Municipality,Biruvā,बिरुवा गाउँपालिका,...,"18,413","14,001"
Chapakot,Municipality,Cāpākōṭa,चापाकोट नगरपालिका,"29,400","26,101","22,969"
Galyang,Municipality,Galyāṅa,गल्याङ नगरपालिका,...,"37,821","31,034"
Harinas,Rural Municipality,Harināsa,हरिनास गाउँपालिका,...,"17,343","13,191"
