Name,Status,Transcription,Native,Population 2001,Population 2011,Population 2021
Jitpur Simara,Sub-Metropolis,Jītapura Simarā,जीतपुर सिमरा उपमहानगरपालिका,...,"118,398","127,307"
Kalaiya,Sub-Metropolis,Kalaiyā,कलैया उपमहानगरपालिका,...,"123,575","136,222"
Karaiyamai,Rural Municipality,Karaiyāmāī,करैयामाई गाउँपालिका,...,"26,496","29,165"
Kolhabi,Municipality,Kōlhavī,कोल्हवी नगरपालिका,"40,213","44,082","51,182"
Mahagadhimai,Municipality,Mahāgaḍhīmāī,महागढीमाई नगरपालिका,...,"52,396","59,424"
Nijgadh,Municipality,Nijagaḍha,निजगढ नगरपालिका,"30,693","35,403","37,687"
Pachrauta,Municipality,Pacarautā,पचरौता नगरपालिका,...,"34,194","40,524"
Parawanipur,Rural Municipality,Paravānīpura,परवानीपुर गाउँपालिका,...,"22,787","24,745"
Parsa Wildlife Reserve,Wildlife Reserve,Parsā Vanyajantu Ārakṣa,पर्सा वन्यजन्तु आरक्ष,0,0,0
Pheta,Rural Municipality,Phēṭā,फेटा गाउँपालिका,...,"25,653","28,395"
Prasauni,Rural Municipality,Prasaunī,प्रसौनी गाउँपालिका,...,"25,049","25,414"
Simraungadh,Municipality,Simraunagaḍha,सिम्रौनगढ नगरपालिका,...,"48,570","54,878"
Suwarna,Rural Municipality,Suvarṇa,सुवर्ण गाउँपालिका,...,"29,537","35,141"
Bardiya,District,Bardiyā,बर्दिया जिल्ला,"382,649","426,576","459,900"
Badhaiyatal,Rural Municipality,Baḍhaiyātāla,बढैयाताल गाउँपालिका,"42,892","47,948","52,818"
Bansgadhi,Municipality,Bā̃sagaḍhī,बाँसगढी नगरपालिका,"48,617","55,875","63,252"
Barbardiya,Municipality,Bārabardiyā,बारबर्दिया नगरपालिका,"59,737","68,031","72,533"
Bardiya National Park,National Park,Bardiyā Rāṣṭriya Nikuñja,बर्दिया राष्ट्रिय निकुञ्ज,0,0,0
Geruwa,Rural Municipality,Gēruvā,गेरुवा गाउँपालिका,"34,088","34,885","33,514"
Gulariya,Municipality,Gulariyā,गुलरिया नगरपालिका,"56,532","68,164","74,505"
Madhuwan,Municipality,Madhuvana,मधुवन नगरपालिका,"42,606","46,682","50,739"
Rajapur,Municipality,Rājāpura,राजापुर नगरपालिका,"58,820","59,818","60,831"
Thakurbaba,Municipality,Ṭhākurabābā,ठाकुरबाबा नगरपालिका,"38,601","45,173","49,420"
Bhaktapur,District,Bhaktapura,भक्तपुर जिल्ला,"225,461","304,651","432,132"
Bhaktapur,Municipality,Bhaktapura,भक्तपुर नगरपालिका,"72,543","83,658","79,136"
Changunarayan,Municipality,Cā̃gunārāyaṇa,चाँगुनारायण नगरपालिका,...,"58,006","88,083"
Madhyapur Thimi,Municipality,Madhyapura Thimī,मध्यपुर थिमी नगरपालिका,"47,751","84,142","119,756"
Suryabinayak,Municipality,Sūryavināyaka,सूर्यविनायक नगरपालिका,"55,744","78,845","140,085"
Bhojpur,District,Bhōjapura,भोजपुर जिल्ला,"203,018","182,459","157,923"
Aamchok,Rural Municipality,Āmacōka,आमचोक गाउँपालिका,"20,753","18,777","14,968"
Arun,Rural Municipality,Aruṇa,अरुण गाउँपालिका,"19,574","17,768","14,591"
Bhojpur,Municipality,Bhōjapura,भोजपुर नगरपालिका,...,"28,107","26,007"
Hatuwagadhi,Rural Municipality,Hatuvāgaḍhī,हतुवागढी गाउँपालिका,"24,252","20,543","16,175"
Pauwadungma,Rural Municipality,Pauvāduṅamā,पौवादुङमा गाउँपालिका,"17,976","15,414","12,107"
Ramprasad Rai,Rural Municipality,Rāmaprasāda Rāī,रामप्रसाद राई गाउँपालिका,"21,493","18,894","15,673"
Salpasilichho,Rural Municipality,Sālpāsilichō,साल्पासिलिछो गाउँपालिका,"13,870","13,111","12,284"
Shadananda,Municipality,Ṣaḍānanda,षडानन्द नगरपालिका,"33,560","31,612","29,342"
Tyamkemaiyung,Rural Municipality,Ṭēmkēmaiyuṅa,टेम्केमैयुङ गाउँपालिका,"22,027","18,233","15,464"
Chitwan,District,Citavana,चितवन जिल्ला,"472,048","579,984","719,859"
Bharatpur,Metropolis,Bharatapura,भरतपुर महानगरपालिका,"210,593","285,167","369,268"
Chitawan National Park,National Park,Citavana Rāṣṭriya Nikuñja,चितवन राष्ट्रिय निकुञ्ज,0,0,0
Ichchhakamana,Rural Municipality,Icchākāmanā,इच्छाकामना गाउँपालिका,"21,924","25,067","27,643"
Kalika,Municipality,Kālikā,कालिका नगरपालिका,...,"44,898","52,164"
Khairhani,Municipality,Khairahanī,खैरहनी नगरपालिका,"50,372","56,925","67,385"
Madi,Municipality,Māḍī,माडी नगरपालिका,"41,344","37,764","38,295"
Rapti,Municipality,Rāptī,राप्ती नगरपालिका,...,"59,937","66,617"
Ratnanagar,Municipality,Ratnanagara,रत्ननगर नगरपालिका,"58,824","70,226","89,905"
Dadeldhura,District,Ḍaḍēladhurā,डडेलधुरा जिल्ला,"126,162","142,094","139,602"
Aalital,Rural Municipality,Ālitāla,आलिताल गाउँपालिका,"14,157","18,531","18,112"
Ajaymeru,Rural Municipality,Ajayamēru,अजयमेरु गाउँपालिका,"17,503","17,066","15,161"
Amargadhi,Municipality,Amaragaḍhī,अमरगढी नगरपालिका,"18,390","22,241","24,149"
Bhageshwar,Rural Municipality,Bhāgēśvara,भागेश्वर गाउँपालिका,"13,356","14,132","13,132"
Ganyapadhura,Rural Municipality,Ganyāpadhurā,गन्यापधुरा गाउँपालिका,"14,277","15,109","13,722"
Navadurga,Rural Municipality,Navadurgā,नवदुर्गा गाउँपालिका,"17,987","19,985","18,672"
Parshuram,Municipality,Paraśurāma,परशुराम नगरपालिका,"30,093","35,030","35,590"
